STATE_COUNTY,AFAMERPER
IN_PARKE,0.023
IN_PERRY,0.024
IN_PIKE,0.003
IN_PORTER,0.03
IN_POSEY,0.009000000000000001
IN_PULASKI,0.006999999999999999
IN_PUTNAM,0.04
IN_RANDOLPH,0.004
IN_RIPLEY,0.002
IN_RUSH,0.008
IN_STJOSEPH,0.127
IN_SCOTT,0.002
IN_SHELBY,0.01
IN_SPENCER,0.005
IN_STARKE,0.003
IN_STEUBEN,0.005
IN_SULLIVAN,0.045
IN_SWITZERLAND,0.003
IN_TIPPECANOE,0.04
IN_TIPTON,0.002
IN_UNION,0.004
IN_VANDERBURGH,0.091
IN_VERMILLION,0.001
IN_VIGO,0.069
IN_WABASH,0.005
IN_WARREN,0.001
IN_WARRICK,0.013000000000000001
IN_WASHINGTON,0.002
IN_WAYNE,0.05
IN_WELLS,0.003
IN_WHITE,0.003
IN_WHITLEY,0.003
IA_ADAIR,0.001
IA_ADAMS,0.002
IA_ALLAMAKEE,0.008
IA_APPANOOSE,0.005
IA_AUDUBON,0.002
IA_BENTON,0.004
IA_BLACKHAWK,0.08900000000000001
IA_BOONE,0.008
IA_BREMER,0.008
IA_BUCHANAN,0.003
IA_BUENAVISTA,0.027000000000000003
IA_BUTLER,0.002
IA_CALHOUN,0.002
IA_CARROLL,0.004
IA_CASS,0.003
IA_CEDAR,0.003
IA_CERROGORDO,0.013000000000000001
IA_CHEROKEE,0.005
IA_CHICKASAW,0.003
IA_CLARKE,0.004
IA_CLAY,0.004
IA_CLAYTON,0.003
IA_CLINTON,0.026000000000000002
IA_CRAWFORD,0.012
IA_DALLAS,0.013999999999999999
IA_DAVIS,0.001
IA_DECATUR,0.018000000000000002
IA_DELAWARE,0.003
IA_DESMOINES,0.051
IA_DICKINSON,0.002
IA_DUBUQUE,0.027000000000000003
IA_EMMET,0.006
IA_FAYETTE,0.009000000000000001
IA_FLOYD,0.012
IA_FRANKLIN,0.004
IA_FREMONT,0.005
IA_GREENE,0.003
IA_GRUNDY,0.002
IA_GUTHRIE,0.001
IA_HAMILTON,0.003
IA_HANCOCK,0.005
IA_HARDIN,0.012
IA_HARRISON,0.002
IA_HENRY,0.022000000000000002
IA_HOWARD,0.003
IA_HUMBOLDT,0.004
IA_IDA,0.002
IA_IOWA,0.003
IA_JACKSON,0.003
IA_JASPER,0.013000000000000001
IA_JEFFERSON,0.013000000000000001
IA_JOHNSON,0.048
IA_JONES,0.02
IA_KEOKUK,0.005
IA_KOSSUTH,0.003
IA_LEE,0.031
IA_LINN,0.04
IA_LOUISA,0.005
IA_LUCAS,0.002
IA_LYON,0.001
IA_MADISON,0.003
IA_MAHASKA,0.011000000000000001
IA_MARION,0.006999999999999999
IA_MARSHALL,0.017
IA_MILLS,0.004
IA_MITCHELL,0.002
IA_MONONA,0.004
IA_MONROE,0.003
IA_MONTGOMERY,0.002
IA_MUSCATINE,0.013999999999999999
IA_O'BRIEN,0.005
IA_OSCEOLA,0.003
IA_PAGE,0.022000000000000002
IA_PALOALTO,0.005
IA_PLYMOUTH,0.003
IA_POCAHONTAS,0.004
IA_POLK,0.06
IA_POTTAWATTAMIE,0.013999999999999999
IA_POWESHIEK,0.012
IA_RINGGOLD,0.003
IA_SAC,0.003
IA_SCOTT,0.071
IA_SHELBY,0.003
IA_SIOUX,0.004
IA_STORY,0.025
IA_TAMA,0.003
IA_TAYLOR,0.002
IA_UNION,0.006999999999999999
IA_VANBUREN,0.002
IA_WAPELLO,0.013999999999999999
IA_WARREN,0.005
IA_WASHINGTON,0.006999999999999999
IA_WAYNE,0.003
IA_WEBSTER,0.038
IA_WINNEBAGO,0.008
IA_WINNESHIEK,0.006
IA_WOODBURY,0.024
IA_WORTH,0.004
IA_WRIGHT,0.004
KS_ALLEN,0.019
KS_ANDERSON,0.005
KS_ATCHISON,0.05
KS_BARBER,0.005
KS_BARTON,0.013999999999999999
KS_BOURBON,0.027999999999999997
KS_BROWN,0.012
KS_BUTLER,0.017
KS_CHASE,0.012
KS_CHAUTAUQUA,0.004
KS_CHEROKEE,0.005
KS_CHEYENNE,0.001
KS_CLARK,0.0
KS_CLAY,0.004
KS_CLOUD,0.005
KS_COFFEY,0.005
KS_COMANCHE,0.003
KS_COWLEY,0.027999999999999997
KS_CRAWFORD,0.02
KS_DECATUR,0.006
KS_DICKINSON,0.008
KS_DONIPHAN,0.031
KS_DOUGLAS,0.039
KS_EDWARDS,0.006999999999999999
KS_ELK,0.0
KS_ELLIS,0.009000000000000001
KS_ELLSWORTH,0.046
KS_FINNEY,0.023
KS_FORD,0.021
KS_FRANKLIN,0.013000000000000001
KS_GEARY,0.184
KS_GOVE,0.003
KS_GRAHAM,0.038
KS_GRANT,0.006
KS_GRAY,0.004
KS_GREELEY,0.005
KS_GREENWOOD,0.003
KS_HAMILTON,0.003
KS_HARPER,0.004
KS_HARVEY,0.016
KS_HASKELL,0.003
KS_HODGEMAN,0.01
KS_JACKSON,0.005
KS_JEFFERSON,0.005
KS_JEWELL,0.002
KS_JOHNSON,0.043
KS_KEARNY,0.006
KS_KINGMAN,0.002
KS_KIOWA,0.006999999999999999
KS_LABETTE,0.047
KS_LANE,0.005
KS_LEAVENWORTH,0.094
KS_LINCOLN,0.003
KS_LINN,0.004
KS_LOGAN,0.008
KS_LYON,0.024
KS_MCPHERSON,0.01
KS_MARION,0.008
KS_MARSHALL,0.003
