,STATE_COUNTY,PERCENT,tax,property_tax,sales_tax,business_tax,utility_tax,hotel_tax,bonds,ordinance,infrastructure,roads,parks,social_services,mental_health,substance_abuse,affordable_housing,emergency_services,fire,police,paramedic,spending_limit,cannabis,education,library,school,land_use,TRUMP_N,TRUMP_%,CLINTON_N,CLINTON_%,PER_CAPITA_INCOME
101,CA_MONTEREY,43.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,34895,0.2616,89088,0.6678000000000001,24775
102,CA_MONTEREY,45.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,34895,0.2616,89088,0.6678000000000001,24775
103,CA_SAN MATEO,79.1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,57929,0.1843,237882,0.7567,45732
104,CA_SAN MATEO,65.2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,57929,0.1843,237882,0.7567,45732
105,CA_SAN MATEO,72.9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,57929,0.1843,237882,0.7567,45732
106,CA_SANTA CLARA,74.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,144826,0.2058,511684,0.7271,41513
107,CA_SANTA CRUZ,70.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,22438,0.17420000000000002,95249,0.7394,32295
108,CA_SANTA CLARA,65.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,144826,0.2058,511684,0.7271,41513
109,CA_SANTA CLARA,72.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,144826,0.2058,511684,0.7271,41513
110,CA_SONOMA,64.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,51408,0.2223,160435,0.6938,32835
111,CA_TRINITY,65.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2812,0.4945000000000001,2214,0.3894,22905
112,CA_ALAMEDA,74.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95922,0.1466,514842,0.7868999999999999,35763
113,CA_CONTRA COSTA,65.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115956,0.2487,319287,0.6849,38219
114,CA_MARIN,73.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21771,0.1563,108707,0.7805,56791
115,CA_NAPA,59.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17411,0.2837,39199,0.6386999999999999,34795
116,CA_SAN FRANCISCO,77.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37688,0.0929,345084,0.8504,48486
117,CA_SAN MATEO,72.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57929,0.1843,237882,0.7567,45732
118,CA_SANTA CLARA,70.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144826,0.2058,511684,0.7271,41513
119,CA_SOLANO,54.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51920,0.3126,102360,0.6162,28929
120,CA_SONOMA,64.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51408,0.2223,160435,0.6938,32835
121,CA_ALAMEDA,73.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95922,0.1466,514842,0.7868999999999999,35763
122,CA_BUTTE,71.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45144,0.4724,41567,0.435,23787
123,CA_BUTTE,58.3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45144,0.4724,41567,0.435,23787
124,CA_BUTTE,57.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,45144,0.4724,41567,0.435,23787
125,CA_BUTTE,50.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,45144,0.4724,41567,0.435,23787
126,CA_BUTTE,44.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,45144,0.4724,41567,0.435,23787
127,CA_CALAVERAS,59.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13511,0.584,7944,0.34340000000000004,29329
128,CA_CALAVERAS,67.1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13511,0.584,7944,0.34340000000000004,29329
129,CA_CALAVERAS,51.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13511,0.584,7944,0.34340000000000004,29329
130,CA_CALAVERAS,46.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13511,0.584,7944,0.34340000000000004,29329
131,CA_CALAVERAS,60.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13511,0.584,7944,0.34340000000000004,29329
132,CA_CONTRA COSTA,63.5,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115956,0.2487,319287,0.6849,38219
133,CA_CONTRA COSTA,71.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115956,0.2487,319287,0.6849,38219
134,CA_EL DORADO,53.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49247,0.5262,36404,0.389,34884
135,CA_EL DORADO,63.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49247,0.5262,36404,0.389,34884
136,CA_EL DORADO,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49247,0.5262,36404,0.389,34884
137,CA_EL DORADO,52.4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49247,0.5262,36404,0.389,34884
138,CA_EL DORADO,49.4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,49247,0.5262,36404,0.389,34884
139,CA_EL DORADO,59.1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49247,0.5262,36404,0.389,34884
140,CA_EL DORADO,42.1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49247,0.5262,36404,0.389,34884
141,CA_EL DORADO,65.5,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49247,0.5262,36404,0.389,34884
142,CA_FRESNO,47.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124049,0.4394,141341,0.5006,20208
143,CA_FRESNO,44.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124049,0.4394,141341,0.5006,20208
144,CA_HUMBOLDT,65.8,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,18373,0.31010000000000004,33200,0.5604,23540
145,CA_HUMBOLDT,48.8,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18373,0.31010000000000004,33200,0.5604,23540
146,CA_HUMBOLDT,46.2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18373,0.31010000000000004,33200,0.5604,23540
147,CA_HUMBOLDT,48.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18373,0.31010000000000004,33200,0.5604,23540
148,CA_HUMBOLDT,54.6,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,18373,0.31010000000000004,33200,0.5604,23540
