STATE_COUNTY,ASIANPER
IA_CLAYTON,0.002
IA_CLINTON,0.006
IA_CRAWFORD,0.006
IA_DALLAS,0.025
IA_DAVIS,0.003
IA_DECATUR,0.006999999999999999
IA_DELAWARE,0.003
IA_DESMOINES,0.006999999999999999
IA_DICKINSON,0.004
IA_DUBUQUE,0.009000000000000001
IA_EMMET,0.004
IA_FAYETTE,0.005
IA_FLOYD,0.013000000000000001
IA_FRANKLIN,0.003
IA_FREMONT,0.003
IA_GREENE,0.003
IA_GRUNDY,0.002
IA_GUTHRIE,0.003
IA_HAMILTON,0.02
IA_HANCOCK,0.004
IA_HARDIN,0.005
IA_HARRISON,0.003
IA_HENRY,0.023
IA_HOWARD,0.003
IA_HUMBOLDT,0.003
IA_IDA,0.003
IA_IOWA,0.003
IA_JACKSON,0.002
IA_JASPER,0.004
IA_JEFFERSON,0.085
IA_JOHNSON,0.052000000000000005
IA_JONES,0.004
IA_KEOKUK,0.002
IA_KOSSUTH,0.004
IA_LEE,0.005
IA_LINN,0.018000000000000002
IA_LOUISA,0.009000000000000001
IA_LUCAS,0.002
IA_LYON,0.002
IA_MADISON,0.003
IA_MAHASKA,0.011000000000000001
IA_MARION,0.011000000000000001
IA_MARSHALL,0.013000000000000001
IA_MILLS,0.004
IA_MITCHELL,0.003
IA_MONONA,0.002
IA_MONROE,0.004
IA_MONTGOMERY,0.002
IA_MUSCATINE,0.008
IA_O'BRIEN,0.006
IA_OSCEOLA,0.003
IA_PAGE,0.006999999999999999
IA_PALOALTO,0.003
IA_PLYMOUTH,0.005
IA_POCAHONTAS,0.002
IA_POLK,0.035
IA_POTTAWATTAMIE,0.006
IA_POWESHIEK,0.013999999999999999
IA_RINGGOLD,0.003
IA_SAC,0.002
IA_SCOTT,0.02
IA_SHELBY,0.004
IA_SIOUX,0.008
IA_STORY,0.06
IA_TAMA,0.003
IA_TAYLOR,0.003
IA_UNION,0.005
IA_VANBUREN,0.005
IA_WAPELLO,0.006999999999999999
IA_WARREN,0.005
IA_WASHINGTON,0.003
IA_WAYNE,0.003
IA_WEBSTER,0.006
IA_WINNEBAGO,0.008
IA_WINNESHIEK,0.011000000000000001
IA_WOODBURY,0.024
IA_WORTH,0.003
IA_WRIGHT,0.002
KS_ALLEN,0.005
KS_ANDERSON,0.005
KS_ATCHISON,0.004
KS_BARBER,0.004
KS_BARTON,0.002
KS_BOURBON,0.005
KS_BROWN,0.003
KS_BUTLER,0.006999999999999999
KS_CHASE,0.003
KS_CHAUTAUQUA,0.001
KS_CHEROKEE,0.003
KS_CHEYENNE,0.006999999999999999
KS_CLARK,0.008
KS_CLAY,0.003
KS_CLOUD,0.002
KS_COFFEY,0.004
KS_COMANCHE,0.003
KS_COWLEY,0.016
KS_CRAWFORD,0.012
KS_DECATUR,0.002
KS_DICKINSON,0.003
KS_DONIPHAN,0.002
KS_DOUGLAS,0.037000000000000005
KS_EDWARDS,0.004
KS_ELK,0.004
KS_ELLIS,0.013999999999999999
KS_ELLSWORTH,0.004
KS_FINNEY,0.034
KS_FORD,0.013999999999999999
KS_FRANKLIN,0.004
KS_GEARY,0.032
KS_GOVE,0.004
KS_GRAHAM,0.003
KS_GRANT,0.003
KS_GRAY,0.002
KS_GREELEY,0.003
KS_GREENWOOD,0.003
KS_HAMILTON,0.003
KS_HARPER,0.001
KS_HARVEY,0.006999999999999999
KS_HASKELL,0.002
KS_HODGEMAN,0.004
KS_JACKSON,0.004
KS_JEFFERSON,0.002
KS_JEWELL,0.002
KS_JOHNSON,0.042
KS_KEARNY,0.003
KS_KINGMAN,0.005
KS_KIOWA,0.006
KS_LABETTE,0.004
KS_LANE,0.002
KS_LEAVENWORTH,0.013000000000000001
KS_LINCOLN,0.002
KS_LINN,0.003
KS_LOGAN,0.004
KS_LYON,0.023
KS_MCPHERSON,0.005
KS_MARION,0.002
KS_MARSHALL,0.002
KS_MEADE,0.004
KS_MIAMI,0.004
KS_MITCHELL,0.003
KS_MONTGOMERY,0.006
